Models importing done.
Loading Tracker...
Loading Pose Estimator...
Loading Assault Detector...
[AssaultDetector] Loading VGG19 + BiLSTM assault model ...
[AssaultDetector]  Loaded
All models loaded!
Frame 19 - PoseTrack 7: conf=0.519, is_assault=False
Frame 19 - PoseTrack 8: conf=0.530, is_assault=False
Frame 20 - PoseTrack 7: conf=0.518, is_assault=False
Frame 20 - PoseTrack 8: conf=0.530, is_assault=False
Frame 21 - PoseTrack 7: conf=0.518, is_assault=False
Frame 21 - PoseTrack 8: conf=0.530, is_assault=False
Frame 22 - PoseTrack 7: conf=0.518, is_assault=False
Frame 23 - PoseTrack 7: conf=0.517, is_assault=False
Frame 23 - PoseTrack 8: conf=0.531, is_assault=False
Frame 24 - PoseTrack 7: conf=0.517, is_assault=False
Frame 24 - PoseTrack 8: conf=0.531, is_assault=False
Frame 25 - PoseTrack 7: conf=0.519, is_assault=False
Frame 25 - PoseTrack 8: conf=0.531, is_assault=False
Frame 26 - PoseTrack 7: conf=0.518, is_assault=False
Frame 26 - PoseTrack 8: conf=0.531, is_assault=False
Frame 27 - PoseTrack 7: conf=0.518, is_assault=False
Frame 27 - PoseTrack 8: conf=0.531, is_assault=False
Frame 28 - PoseTrack 7: conf=0.518, is_assault=False
Frame 28 - PoseTrack 8: conf=0.531, is_assault=False
Frame 29 - PoseTrack 7: conf=0.517, is_assault=False
Frame 29 - PoseTrack 8: conf=0.531, is_assault=False
Frame 30 - PoseTrack 7: conf=0.518, is_assault=False
Frame 30 - PoseTrack 8: conf=0.531, is_assault=False
Frame 31 - PoseTrack 7: conf=0.517, is_assault=False
Frame 31 - PoseTrack 8: conf=0.531, is_assault=False
Frame 32 - PoseTrack 7: conf=0.516, is_assault=False
Frame 32 - PoseTrack 8: conf=0.531, is_assault=False
Frame 33 - PoseTrack 7: conf=0.516, is_assault=False
Frame 33 - PoseTrack 8: conf=0.531, is_assault=False
Frame 34 - PoseTrack 7: conf=0.516, is_assault=False
Frame 34 - PoseTrack 8: conf=0.531, is_assault=False
Frame 35 - PoseTrack 7: conf=0.516, is_assault=False
Frame 35 - PoseTrack 8: conf=0.531, is_assault=False
Frame 36 - PoseTrack 7: conf=0.516, is_assault=False
Frame 36 - PoseTrack 8: conf=0.531, is_assault=False
Frame 37 - PoseTrack 7: conf=0.516, is_assault=False
Frame 37 - PoseTrack 8: conf=0.531, is_assault=False
Frame 38 - PoseTrack 7: conf=0.515, is_assault=False
Frame 38 - PoseTrack 8: conf=0.531, is_assault=False
Frame 39 - PoseTrack 7: conf=0.515, is_assault=False
Frame 39 - PoseTrack 8: conf=0.531, is_assault=False
Frame 40 - PoseTrack 7: conf=0.515, is_assault=False
Frame 40 - PoseTrack 8: conf=0.531, is_assault=False
Frame 41 - PoseTrack 7: conf=0.515, is_assault=False
Frame 41 - PoseTrack 8: conf=0.531, is_assault=False
Frame 42 - PoseTrack 7: conf=0.516, is_assault=False
Frame 42 - PoseTrack 8: conf=0.531, is_assault=False
Frame 43 - PoseTrack 7: conf=0.516, is_assault=False
Frame 43 - PoseTrack 8: conf=0.531, is_assault=False
Frame 44 - PoseTrack 7: conf=0.516, is_assault=False
Frame 44 - PoseTrack 8: conf=0.531, is_assault=False
Frame 45 - PoseTrack 7: conf=0.516, is_assault=False
Frame 45 - PoseTrack 8: conf=0.531, is_assault=False
Frame 46 - PoseTrack 7: conf=0.517, is_assault=False
Frame 46 - PoseTrack 8: conf=0.531, is_assault=False
Frame 47 - PoseTrack 7: conf=0.517, is_assault=False
Frame 47 - PoseTrack 8: conf=0.530, is_assault=False
Frame 48 - PoseTrack 7: conf=0.517, is_assault=False
Frame 48 - PoseTrack 8: conf=0.530, is_assault=False
Frame 49 - PoseTrack 7: conf=0.518, is_assault=False
Frame 49 - PoseTrack 8: conf=0.530, is_assault=False
Frame 50 - PoseTrack 7: conf=0.518, is_assault=False
Frame 50 - PoseTrack 8: conf=0.531, is_assault=False
Frame 51 - PoseTrack 7: conf=0.519, is_assault=False
Frame 51 - PoseTrack 8: conf=0.531, is_assault=False
Frame 52 - PoseTrack 7: conf=0.518, is_assault=False
Frame 52 - PoseTrack 8: conf=0.531, is_assault=False
Frame 53 - PoseTrack 7: conf=0.520, is_assault=False
Frame 53 - PoseTrack 8: conf=0.531, is_assault=False
Frame 54 - PoseTrack 7: conf=0.520, is_assault=False
Frame 54 - PoseTrack 8: conf=0.531, is_assault=False
Frame 55 - PoseTrack 7: conf=0.520, is_assault=False
Frame 55 - PoseTrack 8: conf=0.530, is_assault=False
Frame 56 - PoseTrack 7: conf=0.520, is_assault=False
Frame 56 - PoseTrack 8: conf=0.530, is_assault=False
Frame 57 - PoseTrack 7: conf=0.518, is_assault=False
Frame 57 - PoseTrack 8: conf=0.530, is_assault=False
Frame 58 - PoseTrack 7: conf=0.517, is_assault=False
Frame 58 - PoseTrack 8: conf=0.530, is_assault=False
Frame 59 - PoseTrack 7: conf=0.520, is_assault=False
Frame 59 - PoseTrack 8: conf=0.531, is_assault=False
Frame 60 - PoseTrack 7: conf=0.519, is_assault=False
Frame 60 - PoseTrack 8: conf=0.530, is_assault=False
Frame 61 - PoseTrack 7: conf=0.518, is_assault=False
Frame 61 - PoseTrack 8: conf=0.530, is_assault=False
Frame 62 - PoseTrack 7: conf=0.517, is_assault=False
Frame 62 - PoseTrack 8: conf=0.531, is_assault=False
Frame 63 - PoseTrack 7: conf=0.517, is_assault=False
Frame 63 - PoseTrack 8: conf=0.530, is_assault=False
Frame 64 - PoseTrack 7: conf=0.517, is_assault=False
Frame 64 - PoseTrack 8: conf=0.530, is_assault=False
Frame 65 - PoseTrack 7: conf=0.518, is_assault=False
Frame 65 - PoseTrack 8: conf=0.530, is_assault=False
Frame 66 - PoseTrack 7: conf=0.518, is_assault=False
Frame 66 - PoseTrack 8: conf=0.529, is_assault=False
Frame 67 - PoseTrack 7: conf=0.517, is_assault=False
Frame 67 - PoseTrack 8: conf=0.529, is_assault=False
Frame 68 - PoseTrack 7: conf=0.517, is_assault=False
